序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接,产业链环节,角色
1,600183,生益科技,产品结构优化，业绩爆发式增长,买入,太平洋,0,2.29,47.1,3.23,33.4,4.19,25.8,元件,2026-05-27,https://pdf.dfcfw.com/pdf/H3_AP202605271822915980_1.pdf,核心CCL,龙头
1,688388,嘉元科技,嘉品质，创纪元,买入,中邮证券,0,2.11,21.11,4.53,9.85,5.24,8.51,电池,2026-05-27,https://pdf.dfcfw.com/pdf/H3_AP202605271822924255_1.pdf,电子铜箔,主要参与者
1,600176,中国巨石,电子布量价齐升，重申“买入”评级,买入,华源证券,0,1.67,24.76,2.53,16.34,2.94,14.06,玻璃玻纤,2026-05-27,https://pdf.dfcfw.com/pdf/H3_AP202605271822907633_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,600176,中国巨石,电子布价格继续上涨，公司扩张产能，建议“买进”,增持,群益证券,0,1.499,26.3,1.857,21.23,2.237,17.62,玻璃玻纤,2026-05-26,https://pdf.dfcfw.com/pdf/H3_AP202605261822875424_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
3,600176,中国巨石,主业量价齐升，电子布正处大周期上行通道,买入,华源证券,0,1.67,21.06,2.53,13.9,2.94,11.96,玻璃玻纤,2026-05-21,https://pdf.dfcfw.com/pdf/H3_AP202605211822539870_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,600183,生益科技,2026年一季报点评：全面拥抱AI浪潮，业绩弹性持续释放,买入,西南证券,0,2.3,35.64,3.36,24.41,4.75,17.27,元件,2026-05-19,https://pdf.dfcfw.com/pdf/H3_AP202605191822431344_1.pdf,核心CCL,龙头
3,600183,生益科技,2025年年报及26Q1季报点评：AI需求驱动产品升级，高端材料与PCB共振成长,买入,国元证券,0,2.28,34.17,3.25,24.02,4.07,19.18,元件,2026-05-06,https://pdf.dfcfw.com/pdf/H3_AP202605061821983612_1.pdf,核心CCL,龙头
4,600176,中国巨石,Q1净利润同比增73.5%，电子布量价齐升，建议“买进”,增持,群益证券,0,1.499,23.02,1.82,18.96,2.104,16.4,玻璃玻纤,2026-04-30,https://pdf.dfcfw.com/pdf/H3_AP202604301821834096_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
5,600176,中国巨石,量价齐升弹性十足，激励充分经营强劲,买入,西南证券,0,1.52,21.78,1.68,19.7,1.85,17.8,玻璃玻纤,2026-04-30,https://pdf.dfcfw.com/pdf/H3_AP202604301821815383_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
1,605589,圣泉集团,合成树脂业绩稳健，先进电子材料高速增长,增持,山西证券,0,1.65,23.0,1.9,19.9,2.21,17.2,塑料,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821757456_1.pdf,电子树脂（特种树脂）,主要参与者
1,300395,菲利华,石英电子布静待下半年需求释放，多元业务协同共进,买入,中银证券,0,2.0,53.7,2.7,39.7,3.6,29.4,航空装备Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821726072_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,605589,圣泉集团,电子树脂产销高增长，产能储备充足,买入,中邮证券,0,1.74,22.79,2.26,17.54,2.93,13.53,塑料,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821726577_1.pdf,电子树脂（特种树脂）,主要参与者
4,605589,圣泉集团,公司业绩稳健增长，电子树脂快速放量可期,增持,国信证券,0,1.69,22.5,2.01,18.9,2.32,16.4,塑料,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821656891_1.pdf,电子树脂（特种树脂）,主要参与者
1,301217,铜冠铜箔,一季报点评：Q1表现超预期，AI铜箔释放业绩,买入,国金证券,0,0.705,72.78,1.067,48.09,1.66,30.91,电池,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821659901_1.pdf,电子铜箔,国内龙头
